dataset,method,dim,n_index,n_queries,k_ground_truth,hnsw_M,hnsw_ef_construction,hnsw_ef_search,build_time_s,index_file_bytes,memory_rss_after_build_mb,ivf_nlist,ivf_nprobe,nsg_search_L,nsg_GK,tuning_name,tuning_value,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_qps,recall@1,recall@5,recall@10,recall@20,recall@50,recall@100,mrr,extra_rss_delta_vs_before_build_mb,extra_query_batch_size,extra_note
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,16,5.0490034589893185,21969328,656.21875,,,,,ef_search,16,0.06734508351655677,0.026530773138333557,0.06448762451327639,0.07054687466734322,0.07134961015253793,14848.893902613549,1.0,0.9999,0.9997,0.9994,0.99772,0.992535,1.0,1.5625,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,32,5.0742951249703765,21969328,658.96875,,,,,ef_search,32,0.07043775054626167,0.02650604180649629,0.0668144530209247,0.07739321881672367,0.0858665471241693,14196.932642578162,1.0,0.9999,0.9997,0.9994,0.99772,0.992535,1.0,0.09375,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,64,5.073565332975704,21969328,659.0625,,,,,ef_search,64,0.06854900051257573,0.026755921313822668,0.06572656275238842,0.0703535160937463,0.07515364086430054,14588.10475021505,1.0,0.9999,0.9997,0.9994,0.99772,0.992535,1.0,0.0,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,128,5.1586926659801975,21969328,659.078125,,,,,ef_search,128,0.07985510447178967,0.031926356966820085,0.07706706219323678,0.08276757853309391,0.08480598444293719,12522.68100598715,1.0,1.0,1.0,0.9998,0.99895,0.99671,1.0,-0.03125,64,HNSW graph index results.
CIFAR10,HNSW (hnswlib),512,10000,2000,100,16,200,256,5.1630351659841835,21969328,535.46875,,,,,ef_search,256,0.1377771669649519,0.05472798847383251,0.13364453116082586,0.14744010968570365,0.15213737515296089,7258.096693586263,1.0,1.0,1.0,1.0,0.99995,0.999785,1.0,-123.609375,64,HNSW graph index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,100,1,,,nprobe,1,0.00977556494763121,0.0005428132652169214,0.009768875315785408,0.010440109690534882,0.010836592991836369,102295.878075294,0.4905,0.4446,0.4131,0.377375,0.32123,0.271085,0.4905,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,100,2,,,nprobe,2,0.016589294478762895,0.0008775302670216057,0.016518234588147607,0.01753386004565982,0.01812761001929175,60279.83898171012,0.7005,0.6502,0.61055,0.569175,0.50238,0.43849,0.7005,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,100,4,,,nprobe,4,0.02811976891825907,0.0015228090482029537,0.028138671950728167,0.030234375117288437,0.031261062758858316,35562.16990640588,0.867,0.8318,0.80145,0.767475,0.70414,0.640525,0.867,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,100,8,,,nprobe,8,0.04879533252096735,0.0021061296507759023,0.04917057776765432,0.05116731244925177,0.05141276596987154,20493.76340596306,0.9625,0.9474,0.9315,0.909175,0.86952,0.826025,0.9625,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,100,16,,,nprobe,16,0.08651466702576727,0.002824907987370406,0.0870716094141244,0.09021809364639921,0.09083007807930699,11558.733731266202,0.9945,0.9885,0.98435,0.977825,0.96318,0.944245,0.9945,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,100,32,,,nprobe,32,0.158061372989323,0.0030492400856805446,0.15779231216583867,0.16303710981446784,0.1654127499932656,6326.656418880721,0.9995,0.9989,0.9986,0.997925,0.99568,0.991945,0.9995,3.359375,64,IVF index results.
CIFAR10,IVF (FAISS IndexIVFFlat),512,10000,2000,100,0,0,0,0.040167750034015626,20765739,539.265625,100,64,,,nprobe,64,0.2927860005002003,0.003844364025998958,0.2918912814493524,0.2990481716551585,0.2997233123096521,3415.463848310998,1.0,1.0,1.0,1.0,0.99996,0.999875,1.0,3.359375,64,IVF index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4207062079804018,20662884,471.609375,,,128,16,nsg_GK_search_L,GK16_L128,0.060135104024084285,0.001829743863300387,0.059961578699585516,0.06372526604536688,0.0658762974126148,16629.222086312464,0.5995,0.5677,0.53645,0.498875,0.44195,0.389015,0.5995,-68.1875,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4207062079804018,20662884,471.609375,,,32,16,nsg_GK_search_L,GK16_L32,0.05095129055553116,0.005896096037213843,0.048457030970894266,0.06568034405063372,0.07017968800937524,19626.588239410987,0.5535,0.5218,0.49015,0.45345,0.3959,0.34464,0.5535,-68.1875,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4207062079804018,20662884,471.609375,,,64,16,nsg_GK_search_L,GK16_L64,0.048701707972213626,0.004216399102718282,0.047285156142606866,0.060775390920753125,0.0615937497059349,20533.160778889767,0.5535,0.5218,0.49015,0.45345,0.3959,0.34464,0.5535,-68.1875,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4975069999927655,20715764,510.96875,,,128,32,nsg_GK_search_L,GK32_L128,0.059259376052068546,0.0024172118820747377,0.05899870302528143,0.06294726517808158,0.06837109413027065,16874.966741488217,0.6765,0.6211,0.5945,0.5562,0.49682,0.4409,0.6765,19.75,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4975069999927655,20715764,510.96875,,,32,32,nsg_GK_search_L,GK32_L32,0.050743790983688086,0.002791236681969831,0.05036068796471227,0.0574283749301685,0.05934309319854947,19706.844534367887,0.6305,0.5732,0.5485,0.50965,0.44897,0.393365,0.6305,19.75,64,NSG graph index results.
CIFAR10,NSG (FAISS IndexNSGFlat),512,10000,2000,100,0,0,0,0.4975069999927655,20715764,510.96875,,,64,32,nsg_GK_search_L,GK32_L64,0.04815231100656092,0.002299726968746721,0.047826812078710645,0.0517675789524219,0.05733593752665911,20767.43522992586,0.6305,0.5732,0.5485,0.50965,0.44897,0.393365,0.6305,19.75,64,NSG graph index results.
